FECHA,HORA,BJU
13/01/2018,2,52
13/01/2018,3,69
13/01/2018,4,64
13/01/2018,5,66
13/01/2018,6,79
13/01/2018,7,68
13/01/2018,8,68
13/01/2018,9,81
13/01/2018,10,95
13/01/2018,11,101
13/01/2018,12,84
13/01/2018,13,67
13/01/2018,14,69
13/01/2018,15,56
13/01/2018,16,45
13/01/2018,17,62
13/01/2018,18,75
13/01/2018,19,94
13/01/2018,20,67
13/01/2018,21,68
13/01/2018,22,55
13/01/2018,23,42
13/01/2018,24,36
14/01/2018,1,30
14/01/2018,2,35
14/01/2018,3,38
14/01/2018,4,33
14/01/2018,5,29
14/01/2018,6,35
14/01/2018,7,33
14/01/2018,8,39
14/01/2018,9,46
14/01/2018,10,56
14/01/2018,11,52
14/01/2018,12,56
14/01/2018,13,46
14/01/2018,14,65
14/01/2018,15,55
14/01/2018,16,62
14/01/2018,17,49
14/01/2018,18,48
14/01/2018,19,37
14/01/2018,20,32
14/01/2018,21,44
14/01/2018,22,39
14/01/2018,23,36
14/01/2018,24,32
15/01/2018,1,26
15/01/2018,2,28
15/01/2018,3,39
15/01/2018,4,40
15/01/2018,5,34
15/01/2018,6,34
15/01/2018,7,40
15/01/2018,8,53
15/01/2018,9,61
15/01/2018,10,65
15/01/2018,11,74
15/01/2018,12,67
15/01/2018,13,72
15/01/2018,14,73
15/01/2018,15,70
15/01/2018,16,82
15/01/2018,17,78
15/01/2018,18,82
15/01/2018,19,70
15/01/2018,20,74
15/01/2018,21,59
15/01/2018,22,65
15/01/2018,23,57
15/01/2018,24,68
16/01/2018,1,74
16/01/2018,2,69
16/01/2018,3,61
16/01/2018,4,72
16/01/2018,5,72
16/01/2018,6,75
16/01/2018,7,77
16/01/2018,8,94
16/01/2018,9,94
16/01/2018,10,110
16/01/2018,11,101
16/01/2018,12,98
16/01/2018,13,78
16/01/2018,14,82
16/01/2018,15,86
16/01/2018,16,83
16/01/2018,17,85
16/01/2018,18,92
16/01/2018,19,115
16/01/2018,20,75
16/01/2018,21,56
16/01/2018,22,42
16/01/2018,23,36
16/01/2018,24,25
17/01/2018,1,22
17/01/2018,2,19
17/01/2018,3,19
17/01/2018,4,20
17/01/2018,5,18
17/01/2018,6,25
17/01/2018,7,41
17/01/2018,8,53
17/01/2018,9,59
17/01/2018,10,78
17/01/2018,11,105
17/01/2018,12,93
17/01/2018,13,87
17/01/2018,14,72
17/01/2018,15,73
17/01/2018,16,58
17/01/2018,17,61
17/01/2018,18,85
17/01/2018,19,95
17/01/2018,20,95
17/01/2018,21,86
17/01/2018,22,53
17/01/2018,23,39
17/01/2018,24,35
18/01/2018,1,32
18/01/2018,2,29
18/01/2018,3,39
18/01/2018,4,75
18/01/2018,5,62
18/01/2018,6,38
18/01/2018,7,34
18/01/2018,8,47
18/01/2018,9,60
18/01/2018,10,69
18/01/2018,11,81
18/01/2018,12,92
18/01/2018,13,86
18/01/2018,14,99
18/01/2018,15,91
18/01/2018,16,90
18/01/2018,17,95
18/01/2018,18,81
18/01/2018,19,73
18/01/2018,20,65
18/01/2018,21,65
18/01/2018,22,61
18/01/2018,23,75
18/01/2018,24,76
19/01/2018,1,76
19/01/2018,2,66
19/01/2018,3,62
19/01/2018,4,57
19/01/2018,5,53
19/01/2018,6,55
19/01/2018,7,53
19/01/2018,8,71
19/01/2018,9,80
19/01/2018,10,79
19/01/2018,11,94
19/01/2018,12,97
19/01/2018,13,81
19/01/2018,14,74
19/01/2018,15,68
19/01/2018,16,68
19/01/2018,17,50
19/01/2018,18,56
19/01/2018,19,45
19/01/2018,20,73
19/01/2018,21,72
19/01/2018,22,62
19/01/2018,23,68
19/01/2018,24,61
20/01/2018,1,44
20/01/2018,2,44
20/01/2018,3,44
20/01/2018,4,41
20/01/2018,5,29
20/01/2018,6,30
20/01/2018,7,42
20/01/2018,8,46
20/01/2018,9,40
20/01/2018,10,70
20/01/2018,11,79
20/01/2018,12,77
20/01/2018,13,64
20/01/2018,14,51
20/01/2018,15,41
20/01/2018,16,41
20/01/2018,17,37
20/01/2018,18,46
20/01/2018,19,48
20/01/2018,20,38
20/01/2018,21,38
20/01/2018,22,31
20/01/2018,23,44
20/01/2018,24,45
21/01/2018,1,47
21/01/2018,2,45
21/01/2018,3,36
21/01/2018,4,30
21/01/2018,5,27
21/01/2018,6,33
21/01/2018,7,39
21/01/2018,8,38
21/01/2018,9,44
21/01/2018,10,52
21/01/2018,11,67
21/01/2018,12,61
21/01/2018,13,48
21/01/2018,14,28
21/01/2018,15,33
21/01/2018,16,37
21/01/2018,17,70
21/01/2018,18,65
