FECHA,HORA,ATI,BJU,CUA,CUT,FAC
1/7/2020,21,48,45,56,59,41
1/7/2020,22,42,35,34,40,37
1/7/2020,23,43,39,45,30,42
1/7/2020,24,29,37,52,49,35
1/8/2020,1,28,31,62,36,21
1/8/2020,2,32,25,54,31,26
1/8/2020,3,29,29,45,32,18
1/8/2020,4,25,32,37,29,21
1/8/2020,5,27,28,39,33,22
1/8/2020,6,34,32,41,42,30
1/8/2020,7,45,35,37,40,65
1/8/2020,8,54,45,42,85,76
1/8/2020,9,81,48,42,136,84
1/8/2020,10,49,55,57,53,62
1/8/2020,11,45,61,57,141,66
1/8/2020,12,98,74,80,116,79
1/8/2020,13,66,78,67,89,66
1/8/2020,14,72,77,74,74,54
1/8/2020,15,85,69,79,56,70
1/8/2020,16,83,68,64,40,44
1/8/2020,17,77,63,65,68,43
1/8/2020,18,72,62,77,85,36
1/8/2020,19,94,60,84,66,79
1/8/2020,20,87,53,100,135,121
1/8/2020,21,78,77,86,132,92
1/8/2020,22,60,80,91,120,65
1/8/2020,23,49,66,64,94,39
1/8/2020,24,42,57,61,91,47
1/9/2020,1,44,65,67,80,35
1/9/2020,2,38,57,56,63,35
1/9/2020,3,34,53,49,35,35
1/9/2020,4,32,57,67,34,28
1/9/2020,5,39,50,46,36,30
1/9/2020,6,43,49,57,39,36
1/9/2020,7,52,51,51,73,56
1/9/2020,8,86,54,61,111,83
1/9/2020,9,104,56,67,200,110
1/9/2020,10,92,69,69,87,95
1/9/2020,11,74,69,61,130,109
1/9/2020,12,84,56,72,113,80
1/9/2020,13,57,55,58,25,38
1/9/2020,14,25,38,22,22,-99
1/9/2020,15,49,43,26,32,-99
1/9/2020,16,44,42,30,27,-99
1/9/2020,17,26,39,43,41,31
1/9/2020,18,62,53,53,72,36
1/9/2020,19,83,52,60,145,90
1/9/2020,20,109,59,35,117,102
1/9/2020,21,92,49,45,60,70
1/9/2020,22,63,68,42,56,68
1/9/2020,23,67,62,67,38,54
1/9/2020,24,67,53,73,65,60
1/10/2020,1,47,43,62,68,48
1/10/2020,2,23,41,27,80,38
1/10/2020,3,27,38,35,56,32
1/10/2020,4,32,32,30,52,35
1/10/2020,5,32,32,13,48,50
1/10/2020,6,41,34,29,65,43
1/10/2020,7,58,38,24,54,60
1/10/2020,8,76,44,19,93,73
1/10/2020,9,106,42,21,116,99
1/10/2020,10,86,39,34,78,105
1/10/2020,11,80,45,19,109,58
1/10/2020,12,42,43,26,76,18
1/10/2020,13,25,40,37,64,31
1/10/2020,14,31,27,26,25,21
1/10/2020,15,23,33,19,41,-99
1/10/2020,16,28,35,23,23,31
1/10/2020,17,38,24,46,35,51
1/10/2020,18,45,29,66,83,48
1/10/2020,19,39,32,57,44,50
1/10/2020,20,41,30,39,7,52
1/10/2020,21,35,30,33,34,44
1/10/2020,22,41,38,31,68,53
1/10/2020,23,45,44,16,105,46
1/10/2020,24,58,50,14,74,33
1/11/2020,1,52,44,-99,47,6
1/11/2020,2,37,32,11,34,8
1/11/2020,3,17,29,18,14,16
1/11/2020,4,24,30,7,16,12
1/11/2020,5,26,34,17,27,21
1/11/2020,6,26,31,22,44,28
1/11/2020,7,30,35,26,62,33
1/11/2020,8,34,36,27,89,41
1/11/2020,9,61,45,29,121,62
1/11/2020,10,67,47,34,85,66
1/11/2020,11,49,53,28,77,56
1/11/2020,12,38,48,34,52,34
1/11/2020,13,41,42,34,43,29
1/11/2020,14,48,40,27,48,31
1/11/2020,15,52,36,28,58,27
1/11/2020,16,21,33,29,45,21
1/11/2020,17,25,40,38,45,39
1/11/2020,18,30,44,39,65,45
1/11/2020,19,51,49,45,130,58
1/11/2020,20,72,43,45,103,74
1/11/2020,21,72,46,24,71,68
1/11/2020,22,63,52,55,111,72
1/11/2020,23,56,46,64,73,49
1/11/2020,24,45,50,62,37,40
1/12/2020,1,32,42,51,27,45
1/12/2020,2,38,36,42,28,36
1/12/2020,3,39,43,41,21,38
1/12/2020,4,46,53,36,26,29
1/12/2020,5,36,45,32,20,34
1/12/2020,6,34,44,29,30,37
1/12/2020,7,36,39,37,39,31
1/12/2020,8,41,44,41,62,50
1/12/2020,9,56,57,19,140,67
1/12/2020,10,66,63,43,2,71
1/12/2020,11,53,59,38,90,60
1/12/2020,12,52,55,53,75,37
1/12/2020,13,30,52,49,22,5
1/12/2020,14,28,37,45,-99,-99
1/12/2020,15,20,28,28,-99,7
1/12/2020,16,22,30,34,9,28
1/12/2020,17,30,28,38,12,31
1/12/2020,18,31,32,40,90,43
1/12/2020,19,76,50,46,112,64
1/12/2020,20,70,47,51,78,82
1/12/2020,21,54,45,63,87,51
1/12/2020,22,45,46,49,72,40
1/12/2020,23,40,36,38,71,27
1/12/2020,24,32,30,37,87,27
1/13/2020,1,23,30,27,74,23
1/13/2020,2,22,30,30,43,20
1/13/2020,3,20,26,34,31,13
1/13/2020,4,23,28,28,19,19
1/13/2020,5,27,39,27,37,20
1/13/2020,6,31,40,26,51,20
1/13/2020,7,47,45,29,56,43
1/13/2020,8,70,51,42,84,54
1/13/2020,9,94,55,31,137,84
1/13/2020,10,21,77,24,86,78
1/13/2020,11,-99,87,33,72,77
1/13/2020,12,107,65,64,51,50
1/13/2020,13,49,42,60,66,30
1/13/2020,14,71,29,45,25,30
1/13/2020,15,58,34,46,27,24
1/13/2020,16,62,37,40,52,35
1/13/2020,17,54,50,52,57,75
1/13/2020,18,56,56,57,47,65
1/13/2020,19,74,42,58,108,62
1/13/2020,20,116,38,86,162,115
1/13/2020,21,58,51,57,96,83
1/13/2020,22,38,37,68,42,47
1/13/2020,23,49,46,43,39,30
1/13/2020,24,35,36,38,37,23
1/14/2020,1,23,34,45,50,25
1/14/2020,2,11,31,37,33,21
1/14/2020,3,25,22,23,26,2
1/14/2020,4,20,28,34,23,8
1/14/2020,5,18,32,28,28,5
1/14/2020,6,20,33,30,33,15
1/14/2020,7,33,37,36,55,34
1/14/2020,8,46,49,21,91,65
1/14/2020,9,71,57,38,-99,81
1/14/2020,10,56,72,62,-99,57
1/14/2020,11,69,76,67,-99,46
1/14/2020,12,128,75,61,-99,55
1/14/2020,13,77,64,79,-99,77
1/14/2020,14,64,56,84,-99,46
1/14/2020,15,45,28,59,-99,35
1/14/2020,16,26,28,24,-99,10
1/14/2020,17,18,39,22,14,23
1/14/2020,18,36,46,27,96,72
1/14/2020,19,82,28,52,156,80
1/14/2020,20,81,30,41,114,74
1/14/2020,21,63,39,43,73,66
1/14/2020,22,64,55,44,46,44
1/14/2020,23,54,39,42,29,25
1/14/2020,24,35,35,36,47,13
1/15/2020,1,19,32,55,39,15
1/15/2020,2,19,37,50,44,24
1/15/2020,3,17,31,36,32,15
1/15/2020,4,16,39,43,31,20
1/15/2020,5,19,34,13,35,12
1/15/2020,6,25,35,22,28,23
1/15/2020,7,39,43,53,38,26
1/15/2020,8,60,46,42,96,85
1/15/2020,9,87,46,31,60,79
1/15/2020,10,89,50,51,-99,113
1/15/2020,11,92,59,-99,-99,99
1/15/2020,12,89,65,-99,-99,80
1/15/2020,13,52,44,-99,-99,26
1/15/2020,14,23,36,-99,63,6
1/15/2020,15,26,31,25,63,25
1/15/2020,16,19,26,43,79,17
1/15/2020,17,42,35,43,67,24
1/15/2020,18,67,44,40,71,48
