FECHA,HORA,ATI,BJU,CUA,CUT,FAC
1/30/2020,24,22,27,16,31,12
1/31/2020,1,8,34,19,44,6
1/31/2020,2,4,35,4,45,9
1/31/2020,3,6,36,1,43,7
1/31/2020,4,20,25,14,31,13
1/31/2020,5,28,22,17,47,18
1/31/2020,6,40,29,13,35,21
1/31/2020,7,41,39,14,40,42
1/31/2020,8,54,42,5,72,45
1/31/2020,9,57,51,8,97,44
1/31/2020,10,90,60,8,74,32
1/31/2020,11,35,43,11,75,11
1/31/2020,12,27,32,16,48,4
1/31/2020,13,15,34,29,18,16
1/31/2020,14,12,32,24,8,15
1/31/2020,15,12,42,29,10,26
1/31/2020,16,20,48,19,9,28
1/31/2020,17,30,54,18,17,31
1/31/2020,18,18,43,23,20,30
1/31/2020,19,25,42,20,29,30
1/31/2020,20,29,38,31,28,28
1/31/2020,21,31,36,15,39,25
1/31/2020,22,19,34,6,29,27
1/31/2020,23,19,33,14,25,20
1/31/2020,24,21,33,13,27,17
